time,lat,lon,rain
2015-12-31,6.5,66.5,
2015-12-31,6.5,66.75,
2015-12-31,6.5,67.0,
2015-12-31,6.5,67.25,
2015-12-31,6.5,67.5,
2015-12-31,6.5,67.75,
2015-12-31,6.5,68.0,
2015-12-31,6.5,68.25,
2015-12-31,6.5,68.5,
2015-12-31,6.5,68.75,
2015-12-31,6.5,69.0,
2015-12-31,6.5,69.25,
2015-12-31,6.5,69.5,
2015-12-31,6.5,69.75,
2015-12-31,6.5,70.0,
2015-12-31,6.5,70.25,
2015-12-31,6.5,70.5,
2015-12-31,6.5,70.75,
2015-12-31,6.5,71.0,
2015-12-31,6.5,71.25,
2015-12-31,6.5,71.5,
2015-12-31,6.5,71.75,
2015-12-31,6.5,72.0,
2015-12-31,6.5,72.25,
2015-12-31,6.5,72.5,
2015-12-31,6.5,72.75,
2015-12-31,6.5,73.0,
2015-12-31,6.5,73.25,
2015-12-31,6.5,73.5,
2015-12-31,6.5,73.75,
2015-12-31,6.5,74.0,
2015-12-31,6.5,74.25,
2015-12-31,6.5,74.5,
2015-12-31,6.5,74.75,
2015-12-31,6.5,75.0,
2015-12-31,6.5,75.25,
2015-12-31,6.5,75.5,
2015-12-31,6.5,75.75,
2015-12-31,6.5,76.0,
2015-12-31,6.5,76.25,
2015-12-31,6.5,76.5,
2015-12-31,6.5,76.75,
2015-12-31,6.5,77.0,
2015-12-31,6.5,77.25,
2015-12-31,6.5,77.5,
2015-12-31,6.5,77.75,
2015-12-31,6.5,78.0,
2015-12-31,6.5,78.25,
2015-12-31,6.5,78.5,
2015-12-31,6.5,78.75,
2015-12-31,6.5,79.0,
2015-12-31,6.5,79.25,
2015-12-31,6.5,79.5,
2015-12-31,6.5,79.75,
2015-12-31,6.5,80.0,
2015-12-31,6.5,80.25,
2015-12-31,6.5,80.5,
2015-12-31,6.5,80.75,
2015-12-31,6.5,81.0,
2015-12-31,6.5,81.25,
2015-12-31,6.5,81.5,
2015-12-31,6.5,81.75,
2015-12-31,6.5,82.0,
2015-12-31,6.5,82.25,
2015-12-31,6.5,82.5,
2015-12-31,6.5,82.75,
2015-12-31,6.5,83.0,
2015-12-31,6.5,83.25,
2015-12-31,6.5,83.5,
2015-12-31,6.5,83.75,
2015-12-31,6.5,84.0,
2015-12-31,6.5,84.25,
2015-12-31,6.5,84.5,
2015-12-31,6.5,84.75,
2015-12-31,6.5,85.0,
2015-12-31,6.5,85.25,
2015-12-31,6.5,85.5,
2015-12-31,6.5,85.75,
2015-12-31,6.5,86.0,
2015-12-31,6.5,86.25,
2015-12-31,6.5,86.5,
2015-12-31,6.5,86.75,
2015-12-31,6.5,87.0,
2015-12-31,6.5,87.25,
2015-12-31,6.5,87.5,
2015-12-31,6.5,87.75,
2015-12-31,6.5,88.0,
2015-12-31,6.5,88.25,
2015-12-31,6.5,88.5,
2015-12-31,6.5,88.75,
2015-12-31,6.5,89.0,
2015-12-31,6.5,89.25,
2015-12-31,6.5,89.5,
2015-12-31,6.5,89.75,
2015-12-31,6.5,90.0,
2015-12-31,6.5,90.25,
2015-12-31,6.5,90.5,
2015-12-31,6.5,90.75,
2015-12-31,6.5,91.0,
2015-12-31,6.5,91.25,
2015-12-31,6.5,91.5,
2015-12-31,6.5,91.75,
2015-12-31,6.5,92.0,
2015-12-31,6.5,92.25,
2015-12-31,6.5,92.5,
2015-12-31,6.5,92.75,
2015-12-31,6.5,93.0,
2015-12-31,6.5,93.25,
2015-12-31,6.5,93.5,
2015-12-31,6.5,93.75,
2015-12-31,6.5,94.0,
2015-12-31,6.5,94.25,
2015-12-31,6.5,94.5,
2015-12-31,6.5,94.75,
2015-12-31,6.5,95.0,
2015-12-31,6.5,95.25,
2015-12-31,6.5,95.5,
2015-12-31,6.5,95.75,
2015-12-31,6.5,96.0,
2015-12-31,6.5,96.25,
2015-12-31,6.5,96.5,
2015-12-31,6.5,96.75,
2015-12-31,6.5,97.0,
2015-12-31,6.5,97.25,
2015-12-31,6.5,97.5,
2015-12-31,6.5,97.75,
2015-12-31,6.5,98.0,
2015-12-31,6.5,98.25,
2015-12-31,6.5,98.5,
2015-12-31,6.5,98.75,
2015-12-31,6.5,99.0,
2015-12-31,6.5,99.25,
2015-12-31,6.5,99.5,
2015-12-31,6.5,99.75,
2015-12-31,6.5,100.0,
2015-12-31,6.75,66.5,
2015-12-31,6.75,66.75,
2015-12-31,6.75,67.0,
2015-12-31,6.75,67.25,
2015-12-31,6.75,67.5,
2015-12-31,6.75,67.75,
2015-12-31,6.75,68.0,
2015-12-31,6.75,68.25,
2015-12-31,6.75,68.5,
2015-12-31,6.75,68.75,
2015-12-31,6.75,69.0,
2015-12-31,6.75,69.25,
2015-12-31,6.75,69.5,
2015-12-31,6.75,69.75,
2015-12-31,6.75,70.0,
2015-12-31,6.75,70.25,
2015-12-31,6.75,70.5,
2015-12-31,6.75,70.75,
2015-12-31,6.75,71.0,
2015-12-31,6.75,71.25,
2015-12-31,6.75,71.5,
2015-12-31,6.75,71.75,
2015-12-31,6.75,72.0,
2015-12-31,6.75,72.25,
2015-12-31,6.75,72.5,
2015-12-31,6.75,72.75,
2015-12-31,6.75,73.0,
2015-12-31,6.75,73.25,
2015-12-31,6.75,73.5,
2015-12-31,6.75,73.75,
2015-12-31,6.75,74.0,
2015-12-31,6.75,74.25,
2015-12-31,6.75,74.5,
2015-12-31,6.75,74.75,
2015-12-31,6.75,75.0,
2015-12-31,6.75,75.25,
2015-12-31,6.75,75.5,
2015-12-31,6.75,75.75,
