time,lat,lon,rain
2014-12-31,6.5,66.5,-4995.0
2014-12-31,6.5,66.75,-4995.0
2014-12-31,6.5,67.0,-4995.0
2014-12-31,6.5,67.25,-4995.0
2014-12-31,6.5,67.5,-4995.0
2014-12-31,6.5,67.75,-4995.0
2014-12-31,6.5,68.0,-4995.0
2014-12-31,6.5,68.25,-4995.0
2014-12-31,6.5,68.5,-4995.0
2014-12-31,6.5,68.75,-4995.0
2014-12-31,6.5,69.0,-4995.0
2014-12-31,6.5,69.25,-4995.0
2014-12-31,6.5,69.5,-4995.0
2014-12-31,6.5,69.75,-4995.0
2014-12-31,6.5,70.0,-4995.0
2014-12-31,6.5,70.25,-4995.0
2014-12-31,6.5,70.5,-4995.0
2014-12-31,6.5,70.75,-4995.0
2014-12-31,6.5,71.0,-4995.0
2014-12-31,6.5,71.25,-4995.0
2014-12-31,6.5,71.5,-4995.0
2014-12-31,6.5,71.75,-4995.0
2014-12-31,6.5,72.0,-4995.0
2014-12-31,6.5,72.25,-4995.0
2014-12-31,6.5,72.5,-4995.0
2014-12-31,6.5,72.75,-4995.0
2014-12-31,6.5,73.0,-4995.0
2014-12-31,6.5,73.25,-4995.0
2014-12-31,6.5,73.5,-4995.0
2014-12-31,6.5,73.75,-4995.0
2014-12-31,6.5,74.0,-4995.0
2014-12-31,6.5,74.25,-4995.0
2014-12-31,6.5,74.5,-4995.0
2014-12-31,6.5,74.75,-4995.0
2014-12-31,6.5,75.0,-4995.0
2014-12-31,6.5,75.25,-4995.0
2014-12-31,6.5,75.5,-4995.0
2014-12-31,6.5,75.75,-4995.0
2014-12-31,6.5,76.0,-4995.0
2014-12-31,6.5,76.25,-4995.0
2014-12-31,6.5,76.5,-4995.0
2014-12-31,6.5,76.75,-4995.0
2014-12-31,6.5,77.0,-4995.0
2014-12-31,6.5,77.25,-4995.0
2014-12-31,6.5,77.5,-4995.0
2014-12-31,6.5,77.75,-4995.0
2014-12-31,6.5,78.0,-4995.0
2014-12-31,6.5,78.25,-4995.0
2014-12-31,6.5,78.5,-4995.0
